"Item Name
",Short Name,Knight,Warrior,Paladin,Assassin,Rogue,Trickster,Archer,Huntress,Mystic,Wizard,Necromancer,Ninja,Samurai,Priest,Sorcerer,Bard,Summoner,Kensei
Fairy Plate,Fplate,15,15,20,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Zaarvox's Heart,Zaavoxs Heart,15,20,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10,15
Kamishimo,,20,20,20,15,15,15,15,15,15,15,15,15,25,15,15,15,15,25
Ring of Unbound Health,UBHP,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Ring of Unbound Attack,UBATT,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ring of Unbound Dexterity,UBDEX,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ring of Unbound Defense,UBDEF,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ring of Unbound Speed,UBSPD,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Ring of Unbound Vitality,UBVIT,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ring of Unbound Wisdom,UBWIS,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ring of Unbound Magic,UBMP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Candy Ring,Cring,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Experimental Ring,Expo,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bracer of the Guardian,Bracer,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
The Twilight Gemstone,Gem,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
The Forgotten Crown,Crown,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ring of the Sphinx,Sphinx,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ring of the Nile,Nile,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Ring of the Pyramid,Pyra,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Bloodshed Ring,Cult Ring,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Magical Lodestone,Potato,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Sourcestone,Source,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Omnipotence Ring,Omni,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Ring of Pure Wishes,Pure Wishes,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Geb's Ring of Wisdom,Geb Ring,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6
Spectral Ring of Horrors,,6,6,6,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6
Defiled Equilibrium,,6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6,6
Ring of the Covetous Heart,,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6,6,6
Amulet of Drakefyre,Drakefyre Amulet,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Honey Circlet,,7,7,7,7,7,7,7,12,7,7,7,7,7,7,7,7,7,7
Rusty Cuffs,Cuffs,8,8,8,8,8,15,8,8,8,8,8,8,8,8,8,8,8,8
Interregnum,,9,9,9,9,9,9,9,9,9,9,15,9,9,9,9,9,9,9
Horrific Claws,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10
Hivemind Circlet,,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Akuma's Tears,Akumas Tears,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,10
Seal of Blasphemous Prayer,Oreo,35,35,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Marble Seal,Mseal,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Seal of the Enchanted Forest,Fairyseal,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hivemaster Helm,Bee Helm,25,30,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Helm of the Juggernaut,Jugg,35,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Helm of Draconic Dominance,Dragonhelm,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tome of Purification,Puri,20,20,20,20,20,20,20,20,20,20,20,20,20,30,20,20,20,20
Tome of Pain,TPain,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Tome of Holy Protection,Prot,15,15,15,15,15,15,15,15,15,15,15,15,15,25,15,15,15,15
Book of Geb,Geb Tome,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10
Penetrating Blast Spell,Thicket Spell,15,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15
Tablet of the King's Avatar,Tablet,35,35,35,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35
Recurring Terror Spell,Parasite Spell,15,15,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15
Ancient Eminence,,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
Random Spell Extraction Device,,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,20
Jade Storm,,30,30,30,30,30,30,30,30,30,35,30,30,30,30,30,30,30,30
Red Beehemoth Quiver,Red Bee Quiver,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35
Blue Beehemoth Quiver,Blue Bee Quiver,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35
Yellow Beehemoth Quiver,Yellow Bee Quiver,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35
Quiver of Thunder,QoT,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35
Quiver of the Shadows,Void Quiver,25,25,25,25,25,25,30,25,25,25,25,25,25,25,25,25,25,25
Cloak of the Planewalker,Planewalker,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10
Cloak of Bloody Surprises,Bloody,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35,35,35,35
Ghastly Drape,,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10
Cloak of the Mad God,Mad God Cloak,30,30,30,30,35,30,30,30,30,30,30,30,30,30,30,30,30,30
Murky Toxin,Murky,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Plague Poison,Plague,20,20,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Bottled Medusozoan,Reef Poison,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Parasitic Concoction,Parasite Poison,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skullish Remains of Esben,Esben Skull,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10
Sealed Crystal Skull,Crystal Skull,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20
Skull of Endless Torment,Shaitains Skull,25,25,25,25,25,25,25,25,25,25,30,25,25,25,25,25,25,25
Skull of Corrupted Souls,Cult Skull,25,25,25,25,25,25,25,25,25,25,30,25,25,25,25,25,25,25
Memento Mori,ST Skull,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20
Coral Venom Trap,Ctrap,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15
Trap of the Vile Spirit,Vile Trap,35,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35,35
Honeytomb Snare,,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
Orb of Aether,Aether,15,15,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15
Enchantment Orb,,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10
Orb of Conflict,Conflict,35,35,35,35,35,35,35,35,50,35,35,35,35,35,35,35,35,35
Soul of the Bearer,,15,15,15,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15
Prism of Dancing Swords,,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
Prism of Dire Instability,,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15
Brain of the Golem,Brain,15,15,15,15,15,25,15,15,15,15,15,15,15,15,15,15,15,15
Scepter of Fulmination,Fulmi,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,15,15,15
Scepter of Devastation,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20
Cnidaria Rod,Reef Scepter,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,15,15,15
Grotesque Scepter,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20
Kageboshi,,35,35,35,35,35,35,35,35,35,35,35,50,35,35,35,35,35,35
Midnight Star,,20,20,20,20,20,20,20,20,20,20,20,30,20,20,20,20,20,20
Wakizashi of Eastern Winds,,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,25
Wakizashi of Crossing Fires,,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,25
Ryu's Blade,Ryus Blade,25,25,25,25,25,25,25,25,25,25,25,30,30,25,25,25,25,30
Dagger of Sinister Deeds,T13 Dagger,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10
Spirit Dagger,,10,10,10,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10
Dirk of Cronus,CDirk,35,35,35,50,50,50,35,35,35,35,35,35,35,35,35,35,35,35
Queen's Stinger Dagger,Stinger,20,20,20,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20
Etherite,,15,15,15,20,25,20,15,15,15,15,15,15,15,15,15,15,15,15
Carved Golem Remains,Golem Dagger,15,15,15,20,20,25,15,15,15,15,15,15,15,15,15,15,15,15
Symbiotic Ripper,Ripper,15,15,15,30,25,25,15,15,15,15,15,15,15,15,15,15,15,15
Bow of Mystical Energy,T13 Bow,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Leaf Bow,,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,10
Doom Bow,DBow,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,15,10,10
Thousand Shot,TShot,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15
Coral Bow,CBow,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,20,15,15
Bow of the Void,Void Bow,25,25,25,25,25,25,30,30,25,25,25,25,25,25,25,30,25,25
Nectar Crossfire,,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10
Spirit Staff,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Staff of Extreme Prejudice,EP,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Staff of Esben,Esben Staff,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Tezcacoatl's Tail,Tescacoatls Tail,20,20,20,20,20,20,20,20,25,25,25,20,20,20,20,20,20,20
Staff of Unholy Sacrifice,Cult Staff,25,25,25,25,25,25,25,25,30,30,30,25,25,25,25,25,25,25
Corruption Tether,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
The Phylactery,,10,10,10,10,10,10,10,10,20,15,15,10,10,10,10,10,10,10
Edictum Praetoris,,15,15,15,15,15,15,15,15,20,20,25,15,15,15,15,15,15,15
Wand of Evocation,T13 Wand,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,10
Conducting Wand,Conducting,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,15,10
Wand of the Fallen,Fallen Wand,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,15,25,15
Wand of the Bulwark,Bulwark,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,15
Abomination's Wrath,Abominations Wrath,15,15,15,15,15,15,15,15,15,15,15,15,15,20,25,15,20,15
Wand of Geb,Geb Wand,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,15,10
Sadamune,T13 Katana,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20
Ray Katana,,30,30,30,30,30,30,30,30,30,30,30,40,40,30,30,30,30,40
Celestial Blade,Sullen Blade,20,20,20,20,20,20,20,20,20,20,20,30,30,20,20,20,20,30
Doku No Ken,Doku,15,15,15,15,15,15,15,15,15,15,15,20,20,15,15,15,15,20
Void Blade,,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,15
Kazekiri,,15,15,15,15,15,15,15,15,15,15,15,20,25,15,15,15,15,25
Tlatoani's Shroud,Tlatoanis Shroud,20,20,20,20,20,20,20,20,25,25,25,20,20,25,25,25,25,20
Water Dragon Silk Robe,Water Silk,20,20,20,20,20,20,20,20,25,25,25,20,20,25,25,25,25,20
Robe of the Mad Scientist,Mad Robe,10,10,10,10,10,10,10,10,15,15,15,10,10,15,15,15,15,10
Ritual Robe,Cult Robe,20,20,20,20,20,20,20,20,25,25,30,20,20,30,30,25,30,20
Shendyt of Geb,Shendyt,10,10,10,10,10,10,10,10,15,15,15,10,10,20,15,15,15,10
Twilight Shroud,,10,10,10,10,10,10,10,10,15,20,15,10,10,15,15,15,15,10
Soulless Robe,Soulless,10,10,10,10,10,10,10,10,20,15,15,10,10,15,15,15,15,10
Toga Picta,Toga,15,15,15,15,15,15,15,15,20,20,25,15,15,20,20,20,20,15
Garment of the Beast,,15,15,15,15,15,15,15,15,20,20,20,15,15,20,20,20,20,15
Leaf Dragon Hide Armor,Leaf Hide,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Harlequin Armor,Harlie,10,10,10,15,15,15,15,15,10,10,10,15,10,10,10,10,10,10
Spectral Cloth Armor,Spectral,10,10,10,15,15,15,15,15,10,10,10,15,10,10,10,10,10,10
Blue Beehemoth Armor,Blue Bee Armor,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Red Beehemoth Armor,Red Bee Armor,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Yellow Beehemoth Armor,Yellow Bee Armor,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Coral Silk Armor,CSilk,8,8,8,13,13,13,13,13,8,8,8,13,8,8,8,8,8,8
Armor of Nil,Nil,20,20,20,30,30,30,30,30,20,20,20,30,20,20,20,20,20,20
Mantle of Skuld,,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10
Apiary Armor,,15,15,15,20,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Golem Garments,Garments,15,15,15,20,20,25,20,20,15,15,15,20,15,15,15,15,15,15
Rags of the Host,,15,15,15,25,20,20,20,20,15,15,15,20,15,15,15,15,15,15
Backpack Drop,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Sword of Acclaim,Acclaim,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reikoku,,15,15,15,15,15,15,15,15,15,15,15,25,20,15,15,15,15,20
Daybreak Chakram,Jugg Star,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20
Hirejou Tenne,,10,10,10,15,15,15,15,15,10,10,10,20,10,10,10,10,10,10
Heavenly Magatama,,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10
Ancient Doom Bow,Ancient DBow,15,15,15,15,15,15,20,20,15,15,15,15,15,15,15,15,15,15
Helm of the Swift Buny,Bunny Helm,20,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Vitamin Buster,,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,20
Crystal Wand,CWand,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,15,20,15
Ghostly Prism,,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10
Robe of the Star Mother,Star Mother,10,10,10,10,10,10,10,10,15,15,15,10,10,15,15,15,15,10
Wyrmhide Armor,Wyrmhide,10,10,10,15,15,15,15,15,10,10,10,15,10,10,10,10,10,10
Deathless Crossbow,,15,15,15,15,15,15,25,20,15,15,15,15,15,15,15,25,15,15
Quiver of Shrieking Specters,ST Quiver,20,20,20,20,20,20,30,20,20,20,20,20,20,20,20,20,20,20
Wraith's Brigandine,Wraiths Brigandine,10,10,10,20,20,20,20,20,10,10,10,20,10,10,10,10,10,10
Revenant Ring,,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10
Scholar's Seal,SSeal,15,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Corruption Cutter,,15,15,15,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15
Necronomicon,,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Helm of the Great General,GGen,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seal of the Blessed Champion,GCookie,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloak of Ghostly Concealment,Ghostly,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydra Skin Armor,Hydra,0,0,0,5,5,5,5,5,0,0,0,5,0,0,0,0,0,0
Prism of Apparitions,T6 Prism,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Baneserpeant Poison,T6 Poison,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagger of Foul Malevolence,Foul,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Bow of Covert Havens,Covert,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0
Quiver of Elvish Mastery,Elvish,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Giantcatcher Trap,GTrap,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Planefetter Orb,Planefetter,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Bloodsucker Skull,T6 Skull,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Staff of the Cosmic Whole,Cosmic,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
Staff of the Vital Unity,T13 Staff,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10
Robe of the Grand Sorcerer,GSorc,0,0,0,0,0,0,0,0,5,5,5,0,0,5,5,5,5,0
Elemental Detonation Spell,T6 Spell,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Masamune,T12 Katana,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5
Royal Wakizashi,T6 Waki,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
Doom Circle,T6 Star,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Wand of Recompense,Recomp,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0
Tome of Holy Guidance,T6 Tome,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Scepter of Storms,T6 Scepter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Ronin's Wakizashi,Ronins Wakizashi,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,5,5,10
Tome of Holy Furor,,30,30,30,30,30,30,30,30,30,30,30,30,30,35,30,30,30,30
Snakeskin Shield,Snake Shield,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bone Dagger,,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Krathana,,20,20,20,20,20,20,20,20,20,20,20,25,25,20,20,20,20,25
Silex's Hammer,Silexs Hammer,25,25,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Sunshine Shiv,,10,10,10,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10
Robobow,,10,10,10,10,10,10,15,15,10,10,10,10,10,10,10,15,10,10
KoalaPOW,,10,10,10,10,10,10,10,10,15,15,15,10,10,10,10,10,10,10
Wand of Spicy Spice,,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,15,10
Arbiters Wrath,,10,10,10,10,10,10,10,10,10,10,10,15,15,10,10,10,10,15
Toaster Pet Skin,Machine Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Crystal Steed,Crystal Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Sphinx,Sphinx Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nut's Artifact,Nut Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Geb's Artifact,Geb Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bes' Artifact,Bes Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tomb Snake Egg,Tomb Snake Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Jaco,Jaco Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sprite Star Pet Skin,Sprite Star,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mini Flying Stheno Skin,Flying Stheno Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spirit Pet Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Demon Frog Pet Skin,Demon Frog,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Sea Slurp Pet Skin,Sea Slurp,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Killer Bee Queen Pet Stone,Bee Queen Pet Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Geb Skin,Mini Geb,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Nut Archer Skin,Mini Nut,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Puppet Master Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Jester Skin,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Woodland Huntress Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Event Pet Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mini Stheno Skin,Stheno Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Jellyhead Trickster Skin,Reef Skin,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fountain Child Pet Skin,MWoods Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Lil' Ghost,Lil Ghost Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Cultured Bookwyrm Pet Skin,Library Pet Skin,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Horned Wyrm Pet Skin,Horned Wyrm,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Slurp Knight Skin,Slurp Knight,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Event Character Skin,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
50 Pirate Caves,50 PCave Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100 Pirate Caves,100 PCave Completes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
10 Forest Mazes,10 FMaze Completes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50 Forest Mazes,50 FMaze Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 Spider Dens,10 Spider Completes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50 Spider Dens,50 Spider Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 Forbidden Jungles,10 Jungle Completes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50 Forbidden Jungles,50 Jungle Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 The Hives,10 Hive Completes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50 The Hives,50 Hive Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10 Candyland Hunting Grounds,10 Cland Completes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25 Candyland Hunting Grounds,25 Cland Completes,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
